Ticker,Close,Date,High,Low,Month,Open,Volume,Daily_return,Baseline,Cum_Return
M&M,2707.7,2024-10-30 05:30:00,2755.85,2669.05,2024-10,2689.25,5677865,-0.01427063234919379,1537.4,0.7612202419669569
M&M,2728.55,2024-10-31 05:30:00,2752.0,2671.6,2024-10,2707.7,3833325,0.0077002622151642885,1537.4,0.7747820996487577
M&M,2817.65,2024-11-01 05:30:00,2840.9,2780.0,2024-11,2780.0,1061709,0.032654706712356374,1537.4,0.8327370885911278
M&M,2883.95,2024-11-04 05:30:00,2971.75,2804.5,2024-11,2804.5,7559263,0.023530246836902968,1537.4,0.875861844672824
M&M,2899.45,2024-11-05 05:30:00,2908.0,2822.1,2024-11,2875.5,3562624,0.005374573068187782,1537.4,0.8859438012228436
M&M,2934.55,2024-11-06 05:30:00,2953.8,2885.4,2024-11,2910.0,2902347,0.012105744192864254,1537.4,0.9087745544425654
M&M,2891.35,2024-11-07 05:30:00,2972.55,2857.95,2024-11,2971.75,4251557,-0.01472116678877522,1537.4,0.8806751658644463
M&M,2974.9,2024-11-08 05:30:00,2990.95,2851.25,2024-11,2910.0,4455563,0.028896536220104796,1537.4,0.9350201639130999
M&M,2930.6,2024-11-11 05:30:00,3009.6,2889.05,2024-11,2962.35,2628672,-0.014891256848969747,1537.4,0.9062052816443344
M&M,2898.55,2024-11-12 05:30:00,2945.9,2880.0,2024-11,2931.2,2414528,-0.010936327032006976,1537.4,0.8853583972941329
M&M,2798.95,2024-11-13 05:30:00,2895.0,2782.9,2024-11,2876.0,3949602,-0.03436200859050231,1537.4,0.8205736958501364
M&M,2807.2,2024-11-14 05:30:00,2842.4,2736.25,2024-11,2815.0,2478112,0.00294753389663982,1537.4,0.8259398985299855
M&M,2846.9,2024-11-18 05:30:00,2874.7,2800.05,2024-11,2844.0,2405351,0.014142205756625836,1537.4,0.8517627162742292
M&M,2948.95,2024-11-19 05:30:00,2998.0,2845.0,2024-11,2845.0,5230405,0.03584600793845927,1537.4,0.9181410173019381
M&M,2936.25,2024-11-21 05:30:00,2974.0,2918.0,2024-11,2962.5,3821808,-0.004306617609657559,1537.4,0.909880317419019
M&M,3012.95,2024-11-22 05:30:00,3063.5,2896.7,2024-11,2944.0,4827125,0.02612175393784577,1537.4,0.9597697411213735
TRENT,2059.1,2023-10-03 05:30:00,2086.3,2052.0,2023-10,2074.3,543387,,2059.1,0.0
